Date,Region,Service Category,Index Value
2022-04-01,Atlantic Region,Surveying and mapping services,102.8
2022-04-01,Quebec,"Architectural, engineering and related services price index",123.7
2022-04-01,Quebec,Architectural and landscape architectural services,108.9
2022-04-01,Quebec,Engineering services,124.5
2022-04-01,Quebec,Surveying and mapping services,107.3
2022-04-01,Ontario,"Architectural, engineering and related services price index",110.3
2022-04-01,Ontario,Architectural and landscape architectural services,109.0
2022-04-01,Ontario,Engineering services,110.6
2022-04-01,Ontario,Surveying and mapping services,104.4
2022-04-01,Prairie Region,"Architectural, engineering and related services price index",105.8
2022-04-01,Prairie Region,Architectural and landscape architectural services,104.5
2022-04-01,Prairie Region,Engineering services,106.1
2022-04-01,Prairie Region,Surveying and mapping services,102.5
2022-04-01,British Columbia and territories,"Architectural, engineering and related services price index",118.3
2022-04-01,British Columbia and territories,Architectural and landscape architectural services,115.4
2022-04-01,British Columbia and territories,Engineering services,118.6
2022-04-01,British Columbia and territories,Surveying and mapping services,112.1
2022-07-01,Canada,"Architectural, engineering and related services price index",111.2
2022-07-01,Canada,Architectural and landscape architectural services,110.7
2022-07-01,Canada,Engineering services,111.5
2022-07-01,Canada,Surveying and mapping services,103.9
2022-07-01,Atlantic Region,"Architectural, engineering and related services price index",108.5
2022-07-01,Atlantic Region,Architectural and landscape architectural services,126.0
2022-07-01,Atlantic Region,Engineering services,107.8
2022-07-01,Atlantic Region,Surveying and mapping services,104.0
2022-07-01,Quebec,"Architectural, engineering and related services price index",125.8
2022-07-01,Quebec,Architectural and landscape architectural services,107.8
2022-07-01,Quebec,Engineering services,126.8
2022-07-01,Quebec,Surveying and mapping services,108.4
2022-07-01,Ontario,"Architectural, engineering and related services price index",110.9
2022-07-01,Ontario,Architectural and landscape architectural services,109.0
2022-07-01,Ontario,Engineering services,111.4
2022-07-01,Ontario,Surveying and mapping services,104.4
2022-07-01,Prairie Region,"Architectural, engineering and related services price index",106.6
2022-07-01,Prairie Region,Architectural and landscape architectural services,110.1
2022-07-01,Prairie Region,Engineering services,106.7
2022-07-01,Prairie Region,Surveying and mapping services,103.1
2022-07-01,British Columbia and territories,"Architectural, engineering and related services price index",119.4
2022-07-01,British Columbia and territories,Architectural and landscape architectural services,116.1
2022-07-01,British Columbia and territories,Engineering services,119.9
2022-07-01,British Columbia and territories,Surveying and mapping services,112.1
2022-10-01,Canada,"Architectural, engineering and related services price index",111.7
2022-10-01,Canada,Architectural and landscape architectural services,111.6
2022-10-01,Canada,Engineering services,112.0
2022-10-01,Canada,Surveying and mapping services,104.3
2022-10-01,Atlantic Region,"Architectural, engineering and related services price index",109.4
2022-10-01,Atlantic Region,Architectural and landscape architectural services,123.6
2022-10-01,Atlantic Region,Engineering services,109.3
2022-10-01,Atlantic Region,Surveying and mapping services,97.6
2022-10-01,Quebec,"Architectural, engineering and related services price index",125.6
2022-10-01,Quebec,Architectural and landscape architectural services,108.8
2022-10-01,Quebec,Engineering services,126.5
2022-10-01,Quebec,Surveying and mapping services,108.4
2022-10-01,Ontario,"Architectural, engineering and related services price index",112.5
2022-10-01,Ontario,Architectural and landscape architectural services,108.9
2022-10-01,Ontario,Engineering services,113.3
2022-10-01,Ontario,Surveying and mapping services,104.6
2022-10-01,Prairie Region,"Architectural, engineering and related services price index",106.7
2022-10-01,Prairie Region,Architectural and landscape architectural services,110.4
2022-10-01,Prairie Region,Engineering services,106.7
2022-10-01,Prairie Region,Surveying and mapping services,104.1
2022-10-01,British Columbia and territories,"Architectural, engineering and related services price index",120.3
2022-10-01,British Columbia and territories,Architectural and landscape architectural services,121.2
2022-10-01,British Columbia and territories,Engineering services,120.3
2022-10-01,British Columbia and territories,Surveying and mapping services,111.6
2023-01-01,Canada,"Architectural, engineering and related services price index",114.5
2023-01-01,Canada,Architectural and landscape architectural services,113.3
2023-01-01,Canada,Engineering services,115.0
2023-01-01,Canada,Surveying and mapping services,104.5
2023-01-01,Atlantic Region,"Architectural, engineering and related services price index",113.1
2023-01-01,Atlantic Region,Architectural and landscape architectural services,120.5
2023-01-01,Atlantic Region,Engineering services,113.4
2023-01-01,Atlantic Region,Surveying and mapping services,100.3
2023-01-01,Quebec,"Architectural, engineering and related services price index",130.5
2023-01-01,Quebec,Architectural and landscape architectural services,110.6
2023-01-01,Quebec,Engineering services,131.6
